Geo_FIPS;TotalPop90;TotalHH90;White90;Black90;Native90;Asian90;Other90;HUnits90;RHUnits90;R0k90;R0k0p90;R0k1p90;R0k2p90;R0k3p90;R0k4p90;R0kNCp90;R10k90;R10k0p90;R10k1p90;R10k2p90;R10k3p90;R10k4p90;R10kNCp90;R20k90;R20k0p90;R20k1p90;R20k2p90;R20k3p90;R20k4p90;R20kNCp90;R35kp90;R35k0p90;R35k1p90;R35k2p90;R35k3p90;R35k4p90;R35kNCp90;R50kp90;R50k0p90;R50k1p90;R50k2p90;R50k3p90;R50k4p90;R50kNCp90;OHUnits90;O0k90;O0k0p90;O0k1p90;O0k2p90;O0k3p90;O0k4p90;O0kNCp90;O10k90;O10k0p90;O10k1p90;O10k2p90;O10k3p90;O10k4p90;O10kNCp90;O20k90;O20k0p90;O20k1p90;O20k2p90;O20k3p90;O20k4p90;O20kNCp90;O35kp90;O35k0p90;O35k1p90;O35k2p90;O35k3p90;O35k4p90;O35kNCp90;O50kp90;O50k0p90;O50k1p90;O50k2p90;O50k3p90;O50k4p90;O50kNCp90
53033006000;4510;2295;4126;74;57;232;21;2436;1104;137;0;0;10;0;111;16;267;0;27;48;25;167;0;291;120;56;40;27;38;10;203;158;26;8;4;7;0;206;184;14;8;0;0;0;813;56;26;0;0;0;30;0;97;42;14;7;25;9;0;106;28;31;0;15;32;0;111;62;31;11;7;0;0;443;285;84;52;14;8;0
53033006100;4347;2496;4000;66;74;189;18;2622;1534;140;0;0;0;0;130;10;474;0;28;76;73;285;12;418;112;158;84;21;43;0;236;175;41;0;11;0;9;266;258;8;0;0;0;0;585;17;11;0;0;0;6;0;38;18;0;7;6;7;0;92;73;13;0;6;0;0;63;17;38;0;8;0;0;375;263;62;34;8;8;0
53033006200;3884;1555;3472;231;0;166;15;1594;267;37;0;0;0;0;37;0;29;0;0;8;0;21;0;82;15;24;24;0;19;0;35;0;16;19;0;0;0;84;48;20;0;8;0;8;1177;67;6;6;6;0;36;13;92;41;6;17;0;28;0;109;69;0;18;0;22;0;192;101;21;25;16;29;0;717;493;113;53;45;13;0
53033006300;5140;2647;4899;121;19;82;19;2757;1104;116;0;0;0;0;105;11;208;0;10;17;15;155;11;259;17;51;74;46;61;10;249;134;78;8;20;9;0;272;249;0;0;14;0;9;1094;51;9;0;8;0;34;0;76;24;9;0;8;35;0;64;18;10;9;0;27;0;199;123;23;0;0;53;0;704;472;85;25;47;75;0
53033006400;3285;1222;2732;372;15;145;21;1266;323;24;0;0;0;0;24;0;48;0;0;4;0;44;0;113;21;32;29;16;10;5;58;27;20;11;0;0;0;80;56;5;6;13;0;0;846;49;0;21;0;0;25;3;48;15;5;10;11;7;0;130;49;12;10;15;44;0;129;74;33;13;4;5;0;490;304;101;36;30;13;6
53033006500;4157;2185;3789;101;45;199;23;2365;1429;201;0;0;0;0;182;19;447;19;64;48;85;217;14;412;139;123;98;31;14;7;241;139;53;34;0;15;0;128;121;0;7;0;0;0;532;9;0;0;0;0;9;0;24;9;0;0;0;15;0;54;31;8;8;0;7;0;94;44;8;16;18;8;0;351;220;44;25;27;35;0
53033006600;2682;1719;2413;144;17;94;14;1771;1254;153;0;0;0;0;139;14;289;14;32;30;34;173;6;362;113;107;67;27;43;5;279;205;41;19;0;6;8;171;167;0;0;4;0;0;183;0;0;0;0;0;0;0;12;7;0;0;0;5;0;27;7;0;5;6;9;0;32;18;14;0;0;0;0;112;87;8;6;0;11;0
53033006699;94;0;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53033006798;4365;2648;4031;98;36;158;42;2882;1813;147;0;0;5;0;119;23;360;13;41;81;54;171;0;662;167;155;145;89;106;0;312;215;74;23;0;0;0;332;295;27;10;0;0;0;408;26;0;0;6;8;7;5;38;33;0;5;0;0;0;60;40;0;0;11;9;0;46;38;0;4;0;4;0;238;186;43;5;4;0;0
53033006898;2578;1192;2470;54;11;25;18;1175;519;68;0;7;0;0;61;0;161;0;25;16;53;67;0;157;61;77;8;11;0;0;63;17;28;0;11;7;0;70;61;9;0;0;0;0;548;24;0;0;10;0;14;0;67;35;7;8;0;17;0;141;88;0;0;29;24;0;134;78;6;24;12;14;0;182;126;35;15;6;0;0
